CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
CUST00026,50,Male,Two year,112.91,4950.13,No,Fiber optic,44.0,Yes,Mailed check,No
CUST00027,29,Male,Month-to-month,107.43,3751.28,No,No,35.0,Yes,Electronic check,Yes
CUST00028,39,Female,One year,33.45,118.01,No,No,5.0,No,Electronic check,No
CUST00029,61,Male,Month-to-month,37.28,2646.81,No,DSL,71.0,Yes,Mailed check,Yes
CUST00030,42,Male,Month-to-month,,2876.66,Yes,DSL,51.0,No,Mailed check,No
CUST00031,66,Male,Two year,49.07,2838.41,No,Fiber optic,57.0,Yes,Credit card,No
CUST00032,44,Male,Two year,81.48,4716.65,No,Fiber optic,,Yes,Credit card,No
CUST00033,59,Female,One year,110.28,4027.18,No,No,36.0,Yes,Bank transfer,No
CUST00034,45,Male,Month-to-month,116.23,1058.61,Yes,Fiber optic,10.0,No,Electronic check,No
CUST00035,33,Female,Two year,85.36,4384.27,No,Fiber optic,50.0,Yes,Electronic check,No
CUST00036,32,Female,Month-to-month,103.82,3869.7,No,DSL,37.0,Yes,Electronic check,No
CUST00037,64,Male,Month-to-month,72.52,1428.88,No,Fiber optic,20.0,Yes,Bank transfer,No
CUST00038,68,Male,One year,40.83,553.9,No,Fiber optic,13.0,Yes,Bank transfer,No
CUST00039,61,Male,Month-to-month,72.47,1369.29,No,No,19.0,No,Credit card,No
CUST00040,69,Male,One year,75.51,4124.1,No,DSL,56.0,Yes,Credit card,No
CUST00041,20,Female,One year,94.25,4243.6,No,Fiber optic,45.0,Yes,Mailed check,No
CUST00042,54,Female,Month-to-month,,2564.98,No,Fiber optic,60.0,Yes,Bank transfer,No
CUST00043,68,Female,Month-to-month,56.83,3912.63,No,DSL,,No,Bank transfer,No
CUST00044,24,Male,Month-to-month,56.4,3227.38,No,Fiber optic,57.0,Yes,Bank transfer,No
CUST00045,38,Female,Month-to-month,115.94,,No,Fiber optic,54.0,Yes,Electronic check,No
CUST00046,26,Male,One year,,2404.2,No,DSL,37.0,No,Credit card,Yes
CUST00047,56,Male,Two year,95.51,3545.0,No,Fiber optic,37.0,Yes,Mailed check,No
CUST00048,35,Male,Month-to-month,95.08,1296.67,No,DSL,14.0,No,Bank transfer,No
CUST00049,21,Male,Month-to-month,46.55,2030.84,Yes,Fiber optic,44.0,Yes,Bank transfer,No
CUST00050,42,Male,One year,77.19,3229.16,Yes,DSL,42.0,Yes,Bank transfer,Yes
CUST00051,31,Female,Two year,109.43,123.7,Yes,DSL,1.0,Yes,Electronic check,No
CUST00052,67,Female,Month-to-month,67.52,1593.12,No,Fiber optic,23.0,No,Mailed check,No
CUST00053,26,Male,Month-to-month,114.51,7297.92,No,Fiber optic,,No,Mailed check,No
CUST00054,43,Female,One year,41.45,,Yes,Fiber optic,28.0,Yes,Bank transfer,Yes
CUST00055,19,Male,Month-to-month,27.42,181.67,No,Fiber optic,,Yes,Mailed check,No
CUST00056,37,Male,Month-to-month,109.15,4426.72,Yes,No,41.0,Yes,Electronic check,Yes
CUST00057,45,Male,One year,104.77,6310.7,Yes,Fiber optic,60.0,Yes,Bank transfer,Yes
CUST00058,64,Female,One year,119.26,2159.34,No,Fiber optic,18.0,Yes,Credit card,Yes
CUST00059,24,Male,One year,87.94,5523.0,No,DSL,63.0,No,Credit card,No
CUST00060,61,Male,One year,113.67,6964.24,No,DSL,61.0,No,Mailed check,No
CUST00061,25,Female,One year,102.69,4971.43,No,Fiber optic,49.0,No,Credit card,No
CUST00062,64,Female,Month-to-month,104.44,4990.22,No,Fiber optic,47.0,Yes,Credit card,No
CUST00063,52,Female,Month-to-month,76.91,3131.23,Yes,Fiber optic,39.0,No,Bank transfer,No
CUST00064,31,Male,Month-to-month,58.24,410.99,Yes,Fiber optic,6.0,No,Electronic check,No
CUST00065,34,Male,Month-to-month,113.46,5972.88,No,Fiber optic,53.0,Yes,Bank transfer,No
CUST00066,53,Female,One year,63.21,1463.97,No,Fiber optic,25.0,No,Electronic check,No
CUST00067,67,Male,Two year,73.88,4826.07,No,No,65.0,Yes,Bank transfer,Yes
CUST00068,57,Female,Two year,64.61,258.38,No,Fiber optic,5.0,Yes,Credit card,Yes
CUST00069,21,Female,One year,76.48,4950.54,Yes,Fiber optic,65.0,Yes,Bank transfer,No
CUST00070,19,Male,Month-to-month,67.05,612.54,No,Fiber optic,8.0,Yes,Mailed check,Yes
CUST00071,23,Male,Month-to-month,24.8,1048.38,No,DSL,39.0,Yes,Mailed check,No
CUST00072,59,Female,Two year,108.2,4739.18,No,DSL,43.0,No,Electronic check,Yes
CUST00073,21,Female,One year,64.44,327.12,No,DSL,5.0,Yes,Electronic check,No
CUST00074,46,Female,One year,78.89,360.39,No,DSL,4.0,Yes,Electronic check,No
CUST00075,35,Female,One year,33.92,-65.65,No,No,1.0,Yes,Mailed check,Yes
CUST00076,43,Male,One year,20.34,1064.08,No,DSL,56.0,Yes,Bank transfer,No
CUST00077,61,Female,Two year,44.53,1989.44,No,DSL,45.0,Yes,Credit card,No
CUST00078,51,Female,Month-to-month,90.46,5921.96,Yes,Fiber optic,65.0,Yes,Electronic check,No
CUST00079,27,Female,One year,29.92,68.44,No,Fiber optic,3.0,No,Bank transfer,No
CUST00080,53,Male,Two year,110.89,2479.71,No,No,22.0,Yes,Bank transfer,Yes
CUST00081,31,Male,Month-to-month,41.5,2266.32,No,DSL,56.0,Yes,Mailed check,Yes
CUST00082,48,Female,One year,,733.38,Yes,No,18.0,No,Mailed check,No
CUST00083,65,Male,Month-to-month,38.15,981.24,Yes,DSL,25.0,Yes,Credit card,No
CUST00084,32,Male,Two year,21.4,1065.07,Yes,No,48.0,Yes,Bank transfer,No
CUST00085,25,Male,Month-to-month,97.18,2990.0,No,Fiber optic,31.0,No,Electronic check,No
CUST00086,31,Female,One year,107.5,3226.43,Yes,Fiber optic,30.0,No,Mailed check,No
CUST00087,40,Female,Month-to-month,81.42,5296.68,No,DSL,66.0,Yes,Bank transfer,No
CUST00088,57,Male,One year,38.82,382.95,No,Fiber optic,10.0,Yes,Mailed check,No
CUST00089,38,Female,Month-to-month,48.53,3499.71,No,Fiber optic,71.0,Yes,Bank transfer,No
CUST00090,33,Female,Month-to-month,67.59,3974.67,No,DSL,59.0,Yes,Mailed check,Yes
CUST00091,62,Male,Month-to-month,115.43,5849.53,No,DSL,51.0,Yes,Electronic check,No
CUST00092,35,Male,Two year,44.74,441.73,No,No,9.0,Yes,Credit card,No
CUST00093,64,Female,Month-to-month,93.16,5144.9,No,Fiber optic,54.0,No,Electronic check,No
CUST00094,41,Male,Month-to-month,63.94,4072.94,Yes,No,62.0,Yes,Mailed check,No
CUST00095,43,Female,One year,49.78,461.09,No,Fiber optic,9.0,No,Mailed check,No
CUST00096,42,Female,One year,65.59,628.84,No,DSL,9.0,Yes,Mailed check,No
CUST00097,62,Male,Two year,27.12,732.81,No,DSL,24.0,Yes,Electronic check,Yes
CUST00098,58,Female,Month-to-month,99.87,3906.99,No,No,39.0,Yes,Mailed check,Yes
CUST00099,46,Female,One year,44.33,377.71,No,Fiber optic,8.0,No,Electronic check,No
CUST00100,32,Male,Month-to-month,92.54,2297.35,No,DSL,25.0,No,Mailed check,No
CUST00101,62,Male,Month-to-month,26.83,1889.18,No,Fiber optic,66.0,Yes,Credit card,No
CUST00102,18,Male,One year,115.51,1191.04,No,DSL,10.0,Yes,Credit card,No
CUST00103,42,Female,One year,39.3,929.84,Yes,Fiber optic,24.0,Yes,Mailed check,No
CUST00104,24,Male,One year,108.27,6359.16,Yes,DSL,59.0,Yes,Bank transfer,No
CUST00105,26,Male,Month-to-month,100.95,3036.59,No,DSL,31.0,Yes,Electronic check,No
CUST00106,41,Male,Month-to-month,116.79,1205.66,No,DSL,11.0,Yes,Mailed check,Yes
CUST00107,18,Male,Month-to-month,67.79,370.43,Yes,DSL,6.0,Yes,Electronic check,No
CUST00108,61,Female,Two year,92.74,6538.22,No,Fiber optic,70.0,Yes,Bank transfer,No
CUST00109,25,Female,Month-to-month,57.07,,No,Fiber optic,32.0,Yes,Credit card,Yes
CUST00110,41,Male,Month-to-month,38.44,1436.42,No,Fiber optic,39.0,Yes,Electronic check,Yes
CUST00111,28,Female,Month-to-month,64.31,3040.55,No,Fiber optic,48.0,Yes,Electronic check,No
CUST00112,68,Male,One year,54.855000000000004,489.49,No,DSL,13.0,No,Electronic check,Yes
CUST00113,34,Male,Month-to-month,118.2,7057.47,No,Fiber optic,59.0,Yes,Electronic check,No
CUST00114,25,Female,Two year,29.62,1929.44,No,No,67.0,No,Electronic check,No
CUST00115,52,Female,Month-to-month,78.92,4442.47,No,DSL,56.0,Yes,Credit card,Yes
CUST00116,52,Male,Two year,82.65,3366.38,No,DSL,41.0,Yes,Electronic check,No
CUST00117,50,Male,Month-to-month,,4112.54,No,Fiber optic,56.0,No,Electronic check,No
CUST00118,22,Female,One year,86.22,,No,DSL,35.0,Yes,Credit card,No
CUST00119,59,Male,Two year,31.62,1232.88,No,DSL,38.0,Yes,Mailed check,Yes
CUST00120,56,Female,Month-to-month,75.5,5034.19,No,Fiber optic,67.0,Yes,Mailed check,No
CUST00121,58,Male,Two year,48.72,1638.9,No,Fiber optic,34.0,No,Electronic check,No
CUST00122,45,Male,Month-to-month,114.02,8030.62,No,Fiber optic,70.0,No,Credit card,No
CUST00123,24,Female,Two year,96.21,1110.14,No,Fiber optic,11.0,No,Electronic check,No
CUST00124,26,Female,One year,117.25,3129.26,No,DSL,27.0,No,Mailed check,No
CUST00125,25,Female,Month-to-month,23.76,1155.33,No,Fiber optic,48.0,Yes,Credit card,No
CUST00126,29,Female,Month-to-month,48.51,1209.55,No,Fiber optic,24.0,Yes,Bank transfer,No
CUST00127,51,Female,Month-to-month,39.54,702.55,No,Fiber optic,18.0,No,Credit card,Yes
CUST00128,50,Female,Month-to-month,21.12,603.76,No,DSL,27.0,No,Mailed check,No
CUST00129,65,Female,Month-to-month,44.23,2372.49,Yes,Fiber optic,54.0,Yes,Credit card,No
CUST00130,40,Male,Month-to-month,87.88,4816.09,Yes,Fiber optic,55.0,No,Bank transfer,No
CUST00131,41,Male,Month-to-month,43.11,858.7,No,Fiber optic,21.0,Yes,Credit card,No
CUST00132,54,Male,One year,70.9,4268.7,Yes,DSL,59.0,Yes,Electronic check,No
CUST00133,52,Female,Month-to-month,108.78,3674.3,No,DSL,34.0,Yes,Electronic check,No
CUST00134,61,Female,Month-to-month,89.38,5143.98,Yes,DSL,58.0,Yes,Mailed check,No
CUST00135,57,Female,One year,59.46,2801.81,No,DSL,48.0,No,Credit card,No
CUST00136,39,Male,Month-to-month,57.25,3095.73,No,Fiber optic,54.0,No,Mailed check,Yes
CUST00137,44,Female,Month-to-month,65.57,1129.41,No,Fiber optic,18.0,Yes,Credit card,No
CUST00138,52,Female,Month-to-month,37.7,77.47,No,Fiber optic,3.0,No,Mailed check,No
CUST00139,18,Male,Two year,83.4,2041.55,No,Fiber optic,,Yes,Credit card,Yes
CUST00140,52,Female,Two year,56.42,78.86,Yes,DSL,1.0,Yes,Electronic check,No
CUST00141,54,Male,Month-to-month,105.24,564.17,No,Fiber optic,6.0,Yes,Mailed check,No
CUST00142,64,Male,One year,95.66,1853.78,Yes,DSL,19.0,No,Mailed check,No
CUST00143,31,Female,One year,81.05,3486.79,Yes,DSL,43.0,Yes,Bank transfer,No
CUST00144,20,Female,One year,56.42,508.22,Yes,DSL,8.0,Yes,Credit card,No
CUST00145,18,Female,One year,40.99,2899.21,Yes,No,69.0,Yes,Electronic check,No
CUST00146,22,Male,One year,97.62,4995.81,No,Fiber optic,52.0,Yes,Electronic check,No
CUST00147,43,Male,Month-to-month,68.64,3264.31,No,DSL,47.0,Yes,Electronic check,No
CUST00148,31,Male,Month-to-month,42.48,1271.18,No,Fiber optic,28.0,Yes,Mailed check,No
CUST00149,56,Female,Month-to-month,39.52,1828.4,No,DSL,46.0,Yes,Electronic check,No
CUST00150,44,Female,Two year,36.54,180.57,Yes,DSL,4.0,Yes,Mailed check,No
CUST00151,26,Female,One year,97.72,793.01,No,Fiber optic,8.0,Yes,Bank transfer,No
CUST00152,32,Female,Two year,42.9,2665.87,No,DSL,61.0,No,Electronic check,No
CUST00153,32,Male,Two year,72.66,1254.39,No,No,17.0,Yes,Bank transfer,No
CUST00154,43,Male,Month-to-month,65.15,2113.98,Yes,Fiber optic,34.0,Yes,Credit card,No
CUST00155,59,Male,One year,77.96,1553.14,No,DSL,20.0,No,Credit card,No
CUST00156,30,Male,One year,107.72,3653.19,Yes,DSL,34.0,Yes,Bank transfer,No
CUST00157,68,Female,Two year,,4626.8,No,Fiber optic,43.0,No,Credit card,No
CUST00158,49,Female,Two year,65.11,709.94,No,DSL,10.0,Yes,Electronic check,No
CUST00159,56,Female,One year,21.54,634.82,No,Fiber optic,30.0,Yes,Electronic check,Yes
CUST00160,66,Male,Month-to-month,62.64,1504.76,Yes,Fiber optic,25.0,No,Mailed check,No
CUST00161,69,Male,One year,80.62,,Yes,Fiber optic,57.0,Yes,Bank transfer,No
CUST00162,49,Female,Month-to-month,75.78,4735.34,Yes,Fiber optic,63.0,Yes,Bank transfer,No
CUST00163,21,Female,One year,85.13,6013.93,Yes,Fiber optic,71.0,Yes,Mailed check,No
CUST00164,47,Male,Two year,35.41,1783.37,Yes,DSL,47.0,Yes,Electronic check,Yes
CUST00165,54,Female,Month-to-month,84.65,220.06,No,DSL,3.0,No,Bank transfer,No
CUST00166,40,Male,One year,38.27,1682.18,No,Fiber optic,46.0,Yes,Mailed check,Yes
CUST00167,56,Male,Month-to-month,95.05,3451.98,Yes,DSL,36.0,No,Bank transfer,No
CUST00168,62,Male,Month-to-month,,1437.01,No,Fiber optic,26.0,Yes,Bank transfer,No
CUST00169,32,Female,Month-to-month,90.99,953.83,No,Fiber optic,10.0,Yes,Mailed check,No
CUST00170,60,Female,One year,24.79,884.85,No,DSL,34.0,Yes,Bank transfer,Yes
CUST00171,46,Male,Two year,60.79,493.6,No,DSL,8.0,No,Credit card,Yes
CUST00172,53,Female,Two year,90.5,4985.31,Yes,Fiber optic,55.0,Yes,Mailed check,Yes
CUST00173,30,Male,Month-to-month,42.69,473.88,No,Fiber optic,10.0,No,Mailed check,Yes
CUST00174,49,Male,Two year,99.53,5753.64,No,DSL,57.0,Yes,Credit card,No
CUST00175,24,Male,One year,83.08,3675.56,No,Fiber optic,45.0,No,Bank transfer,No
CUST00176,68,Male,Month-to-month,78.76,3907.59,No,Fiber optic,50.0,Yes,Credit card,No
CUST00177,39,Female,Month-to-month,,3573.8,No,DSL,64.0,Yes,Bank transfer,No
CUST00178,45,Male,Month-to-month,68.25,149.24,No,DSL,2.0,Yes,Electronic check,No
CUST00179,19,Male,Two year,79.73,3498.32,Yes,DSL,45.0,No,Credit card,No
CUST00180,59,Female,One year,67.25,4140.84,No,Fiber optic,62.0,Yes,Credit card,Yes
CUST00181,62,Male,One year,89.83,1272.75,No,Fiber optic,14.0,Yes,Credit card,No
CUST00182,23,Male,Month-to-month,63.37,951.18,No,No,15.0,No,Electronic check,No
CUST00183,45,Female,One year,,545.27,Yes,DSL,14.0,Yes,Bank transfer,No
CUST00184,45,Female,Month-to-month,41.39,1400.29,No,No,31.0,Yes,Electronic check,No
CUST00185,61,Female,Month-to-month,20.58,595.58,Yes,Fiber optic,29.0,Yes,Credit card,No
CUST00186,61,Male,One year,50.1,1364.25,No,DSL,27.0,Yes,Electronic check,No
CUST00187,37,Female,Month-to-month,94.89,860.66,No,DSL,9.0,Yes,Credit card,No
CUST00188,47,Female,Two year,99.42,1998.98,No,Fiber optic,20.0,Yes,Mailed check,No
CUST00189,28,Male,Month-to-month,40.25,2336.39,No,Fiber optic,58.0,Yes,Bank transfer,No
CUST00190,45,Male,One year,115.9,5574.98,No,Fiber optic,49.0,Yes,Credit card,No
CUST00191,42,Male,Month-to-month,70.24,3954.17,No,Fiber optic,57.0,Yes,Electronic check,No
CUST00192,56,Male,One year,111.7,1771.46,No,DSL,16.0,Yes,Electronic check,Yes
CUST00193,50,Male,Month-to-month,90.68,766.08,No,DSL,8.0,Yes,Electronic check,No
CUST00194,18,Female,Month-to-month,92.24,6165.12,No,DSL,67.0,Yes,Bank transfer,No
CUST00195,44,Female,Two year,28.5,499.93,No,DSL,19.0,Yes,Mailed check,No
CUST00196,69,Female,Month-to-month,42.0,2861.22,No,Fiber optic,67.0,No,Bank transfer,No
CUST00197,30,Male,Two year,20.88,819.23,No,Fiber optic,36.0,No,Mailed check,No
CUST00198,58,Male,Two year,91.61,,No,DSL,60.0,No,Electronic check,Yes
CUST00199,20,Male,Month-to-month,,1964.69,Yes,Fiber optic,36.0,Yes,Bank transfer,No
CUST00200,56,Female,Month-to-month,98.67,951.86,Yes,DSL,11.0,Yes,Mailed check,No
CUST00201,23,Female,One year,53.89,2732.82,No,DSL,51.0,Yes,Electronic check,Yes
CUST00202,25,Male,Two year,101.93,5700.37,No,DSL,55.0,No,Electronic check,No
CUST00203,44,Female,Two year,33.07,1790.38,No,DSL,54.0,No,Bank transfer,No
CUST00204,26,Male,One year,37.34,565.73,No,DSL,17.0,Yes,Mailed check,No
CUST00205,54,Female,One year,54.09,3285.76,Yes,DSL,62.0,Yes,Electronic check,No
CUST00206,50,Female,Month-to-month,60.85,2509.07,Yes,Fiber optic,42.0,No,Electronic check,Yes
CUST00207,68,Female,Two year,54.87,1283.3,Yes,DSL,24.0,Yes,Electronic check,Yes
CUST00208,59,Male,Two year,96.36,1543.48,No,Fiber optic,17.0,No,Credit card,No
CUST00209,61,Female,Month-to-month,29.7,1442.06,Yes,DSL,,Yes,Mailed check,Yes
CUST00210,41,Female,Month-to-month,55.12,3885.59,No,No,70.0,Yes,Mailed check,No
CUST00211,32,Male,Month-to-month,103.72,708.53,No,Fiber optic,7.0,Yes,Credit card,No
CUST00212,49,Female,Month-to-month,26.68,475.81,No,No,14.0,Yes,Electronic check,Yes
CUST00213,49,Male,Two year,114.23,1235.06,Yes,Fiber optic,11.0,Yes,Credit card,Yes
CUST00214,41,Male,Month-to-month,118.63,1483.7,No,Fiber optic,12.0,Yes,Credit card,No
CUST00215,58,Male,Month-to-month,28.86,74.91,No,DSL,5.0,Yes,Credit card,No
CUST00216,69,Male,Month-to-month,49.13,260.65,No,Fiber optic,5.0,Yes,Mailed check,No
CUST00217,66,Male,Two year,57.24,1167.3,No,DSL,20.0,No,Electronic check,No
CUST00218,66,Female,One year,97.64,5237.03,No,DSL,54.0,Yes,Electronic check,No
CUST00219,69,Male,Month-to-month,79.59,4385.81,No,DSL,55.0,Yes,Mailed check,Yes
CUST00220,29,Male,Month-to-month,84.44,4861.48,Yes,Fiber optic,58.0,Yes,Mailed check,No
CUST00221,56,Male,Two year,95.75,2856.9,No,DSL,30.0,Yes,Credit card,No
CUST00222,19,Male,Two year,31.8,749.05,No,No,24.0,No,Credit card,No
CUST00223,20,Female,Month-to-month,103.32,239.69,No,DSL,3.0,Yes,Bank transfer,No
CUST00224,66,Male,Month-to-month,90.56,4373.02,Yes,Fiber optic,48.0,Yes,Bank transfer,No
CUST00225,54,Female,Month-to-month,77.73,5548.43,No,DSL,71.0,Yes,Mailed check,No
CUST00226,66,Male,Month-to-month,108.97,2378.67,Yes,Fiber optic,22.0,Yes,Credit card,No
CUST00227,34,Female,One year,90.03,1272.52,No,Fiber optic,14.0,Yes,Mailed check,No
CUST00228,66,Male,Two year,40.17,1882.17,Yes,Fiber optic,48.0,Yes,Credit card,Yes
CUST00229,19,Male,Month-to-month,62.97,1763.51,No,Fiber optic,29.0,Yes,Credit card,Yes
CUST00230,19,Female,Two year,69.4,3450.0,No,Fiber optic,50.0,No,Mailed check,Yes
CUST00231,45,Male,Month-to-month,25.52,289.75,No,Fiber optic,10.0,No,Mailed check,No
CUST00232,40,Female,One year,115.46,,No,Fiber optic,71.0,Yes,Electronic check,Yes
CUST00233,54,Male,One year,32.86,865.3,Yes,Fiber optic,27.0,No,Electronic check,No
CUST00234,49,Female,Month-to-month,89.75,2529.78,Yes,DSL,28.0,Yes,Bank transfer,Yes
CUST00235,50,Male,Month-to-month,70.62,589.79,No,DSL,9.0,Yes,Mailed check,No
CUST00236,18,Male,One year,22.56,1540.45,No,DSL,71.0,Yes,Bank transfer,No
CUST00237,36,Female,Month-to-month,112.47,2906.58,No,Fiber optic,26.0,Yes,Mailed check,Yes
CUST00238,19,Male,Month-to-month,105.18,798.94,No,Fiber optic,8.0,Yes,Mailed check,No
CUST00239,61,Male,One year,72.43,85.38,No,DSL,2.0,No,Mailed check,No
CUST00240,43,Male,Two year,42.89,2489.93,No,DSL,57.0,Yes,Electronic check,No
CUST00241,49,Male,Month-to-month,32.16,1782.47,No,Fiber optic,52.0,Yes,Bank transfer,No
CUST00242,23,Male,Two year,56.34,3189.99,No,DSL,,No,Mailed check,No
CUST00243,49,Male,Month-to-month,45.54,115.83,No,Fiber optic,3.0,Yes,Bank transfer,Yes
CUST00244,21,Female,One year,,574.08,No,Fiber optic,8.0,Yes,Bank transfer,No
CUST00245,28,Female,One year,116.64,6795.73,No,Fiber optic,59.0,Yes,Electronic check,No
CUST00246,34,Female,Two year,77.5,143.86,No,No,2.0,Yes,Electronic check,Yes
CUST00247,55,Male,Month-to-month,108.99,6749.87,No,Fiber optic,,Yes,Mailed check,No
CUST00248,41,Female,One year,85.09,4193.41,No,Fiber optic,49.0,Yes,Credit card,Yes
CUST00249,22,Male,One year,67.52,1311.76,No,Fiber optic,20.0,Yes,Bank transfer,Yes
CUST00250,69,Male,Month-to-month,105.46,3030.11,No,Fiber optic,29.0,Yes,Electronic check,Yes
CUST00251,51,Male,Month-to-month,67.14,1189.95,Yes,Fiber optic,17.0,Yes,Bank transfer,No
CUST00252,23,Male,Month-to-month,106.86,2371.89,Yes,Fiber optic,22.0,No,Credit card,No
CUST00253,39,Female,Month-to-month,49.16,331.36,No,DSL,6.0,Yes,Bank transfer,No
CUST00254,28,Male,Two year,32.88,1950.86,No,No,62.0,No,Mailed check,No
CUST00255,65,Female,Month-to-month,105.53,3238.01,No,Fiber optic,31.0,No,Bank transfer,No
CUST00256,33,Male,Month-to-month,78.74,4957.69,Yes,DSL,62.0,Yes,Electronic check,Yes
CUST00257,50,Female,One year,108.91,1302.72,No,Fiber optic,12.0,No,Mailed check,No
CUST00258,26,Female,Month-to-month,113.78,1359.07,Yes,DSL,12.0,Yes,Mailed check,No
CUST00259,23,Female,One year,25.36,1593.57,No,Fiber optic,63.0,No,Credit card,No
CUST00260,33,Female,Month-to-month,105.14999999999999,1200.1,No,No,16.0,Yes,Mailed check,No
CUST00261,46,Female,Two year,,1400.19,No,DSL,25.0,Yes,Electronic check,Yes
CUST00262,20,Female,Two year,82.59,1850.55,No,Fiber optic,22.0,Yes,Credit card,No
CUST00263,37,Male,Two year,99.36,1801.68,Yes,Fiber optic,18.0,Yes,Mailed check,No
CUST00264,53,Female,Month-to-month,48.06,,Yes,Fiber optic,45.0,Yes,Credit card,No
CUST00265,36,Male,One year,75.68,5131.31,Yes,DSL,68.0,Yes,Bank transfer,No
CUST00266,43,Female,Month-to-month,90.87,1048.75,Yes,DSL,12.0,No,Mailed check,No
CUST00267,20,Male,Month-to-month,33.44,,Yes,Fiber optic,49.0,Yes,Electronic check,No
CUST00268,36,Female,Month-to-month,101.41,3406.35,No,DSL,33.0,No,Electronic check,No
CUST00269,37,Female,One year,80.61,5017.43,No,Fiber optic,63.0,Yes,Mailed check,No
CUST00270,49,Male,Month-to-month,114.95,2106.57,No,Fiber optic,,Yes,Bank transfer,No
CUST00271,24,Female,One year,53.95,2870.22,Yes,No,54.0,No,Credit card,No
CUST00272,69,Female,Month-to-month,30.81,899.74,No,DSL,27.0,Yes,Electronic check,No
CUST00273,58,Female,Month-to-month,70.65,1745.26,No,DSL,25.0,Yes,Electronic check,No
CUST00274,50,Male,One year,28.58,988.5,Yes,Fiber optic,34.0,No,Credit card,Yes
CUST00275,57,Female,Month-to-month,116.95,6988.69,No,Fiber optic,60.0,Yes,Credit card,No
CUST00276,56,Male,One year,23.87,,No,No,54.0,Yes,Electronic check,Yes
CUST00277,35,Female,Month-to-month,95.35,393.37,No,Fiber optic,5.0,No,Credit card,No
CUST00278,57,Female,Two year,72.51,2515.46,No,Fiber optic,36.0,No,Mailed check,No
CUST00279,18,Male,One year,56.86,3083.13,No,DSL,54.0,No,Electronic check,No
CUST00280,28,Female,Month-to-month,26.58,955.45,No,DSL,36.0,No,Electronic check,No
CUST00281,45,Female,Month-to-month,82.22,5702.91,No,DSL,69.0,Yes,Electronic check,No
CUST00282,42,Male,One year,78.52,3028.32,Yes,DSL,39.0,Yes,Mailed check,No
CUST00283,67,Female,Two year,48.09,3257.74,No,Fiber optic,70.0,No,Electronic check,No
CUST00284,40,Male,Month-to-month,111.02,509.18,No,Fiber optic,4.0,Yes,Credit card,Yes
CUST00285,48,Male,Month-to-month,50.41,3326.15,No,Fiber optic,65.0,Yes,Electronic check,No
CUST00286,47,Male,Two year,64.97,2617.5,No,Fiber optic,40.0,Yes,Mailed check,No
CUST00287,59,Female,One year,,2807.6,No,Fiber optic,37.0,No,Mailed check,Yes
